iter	MultiClass
0	0.6823692437
1	0.6716143247
2	0.6620084505
3	0.6532540415
4	0.646093339
5	0.6385924118
6	0.6326695229
7	0.6272782611
8	0.6215965555
9	0.6163857718
10	0.611809556
11	0.6074427053
12	0.6032572318
13	0.6000738966
14	0.5965350528
15	0.5932135198
16	0.590638846
17	0.5885823529
18	0.5854824381
19	0.5826790836
20	0.5804755042
21	0.5783255022
22	0.5764060379
23	0.5744043639
24	0.5726684926
25	0.5709377427
26	0.569413979
27	0.5682703902
28	0.566688525
29	0.5652907691
30	0.564283221
31	0.5633385292
32	0.5621150965
33	0.561141761
34	0.5600933511
35	0.5592735417
36	0.5584192071
37	0.5576471751
38	0.5564728135
39	0.5557599063
40	0.5546980227
41	0.5536953446
42	0.5526486165
43	0.5517489045
44	0.5507163909
45	0.5500051458
46	0.5493257445
47	0.5484768273
48	0.5475544322
49	0.5469529878
50	0.5461928297
51	0.545557557
52	0.5449642468
53	0.5445016412
54	0.5437429968
55	0.5434436168
56	0.5428003354
57	0.5420964819
58	0.5416634975
59	0.5411470962
60	0.5406359197
61	0.5402613172
62	0.539708378
63	0.5392611684
64	0.5388359166
65	0.5384065955
66	0.5381400675
67	0.5377691346
68	0.5373500163
69	0.5370826389
70	0.5368034265
71	0.5363223443
72	0.5359550027
73	0.5356821698
74	0.5354171625
75	0.5351581683
76	0.5349035383
77	0.5346511798
78	0.5341780332
79	0.5338904281
80	0.5335829887
81	0.53324439
82	0.5330518331
83	0.5327443843
84	0.5325366161
85	0.5322472218
86	0.5319545196
87	0.5317059151
88	0.5314222558
89	0.5311937742
90	0.5309948449
91	0.5307733501
92	0.5306223523
93	0.5303555692
94	0.530154914
95	0.5299343677
96	0.5296857742
97	0.5294838776
98	0.5292508901
99	0.5290646877
100	0.5287564046
101	0.528542255
102	0.5284025296
103	0.5280169956
104	0.5277638347
105	0.5274400886
106	0.5272404389
107	0.527069784
108	0.5268102169
109	0.526643752
110	0.5265228302
111	0.52643103
112	0.5263655831
113	0.5261744122
114	0.5260532857
115	0.5259131289
116	0.5257588214
117	0.525580949
